id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
12470,5MA2,heliport,Fuller House Heliport,41.553199768066406,-70.55090332,30,NA,US,US-MA,East Falmouth,no,5MA2,,5MA2,,,
12471,5MA3,small_airport,Pasport Airport,42.187599182128906,-72.14309692,1010,NA,US,US-MA,West Brookfield,no,5MA3,,5MA3,,,
12472,5MA4,heliport,Double A Heliport,41.92449951171875,-70.7696991,90,NA,US,US-MA,Carver,no,5MA4,,5MA4,,,
12473,5MA5,heliport,Southend Farm Heliport,42.190101623535156,-71.35620117,190,NA,US,US-MA,Millis,no,5MA5,,5MA5,,,
12474,5MA6,heliport,St. Luke's Hospital Heliport,41.626568,-70.93863,123,NA,US,US-MA,New Bedford,no,5MA6,,5MA6,,,
12475,5MA7,heliport,Cochituate Heliport,42.30839920043945,-71.38169861,210,NA,US,US-MA,Natick,no,5MA7,,5MA7,,,
12476,5MA8,seaplane_base,South Pond Seaplane Base,42.00870132446289,-72.76260376,225,NA,US,US-MA,Southwick,no,5MA8,,5MA8,,,
12477,5MA9,closed,Allen's Pond Airport,41.512964,-71.029315,60,NA,US,US-MA,Westport,no,,,,,,5MA9
12488,5ME,seaplane_base,Brandy Pond Seaplane Base,43.95460129,-70.5911026,267,NA,US,US-ME,Naples,no,5ME,,5ME,,,
333473,5ME2,seaplane_base,Frogg Island Seaplane Base,43.870833,-70.424722,290,NA,US,US-ME,Gray,no,5ME2,,5ME2,,,
328794,5ME9,heliport,Maine General Medical Center-Augusta Heliport,44.361814,-69.779844,268,NA,US,US-ME,Augusta,no,5ME9,,5ME9,,,
12767,60B,seaplane_base,Moose River Seaplane Base,45.633399963378906,-70.2661972,1157,NA,US,US-ME,Jackman,no,60B,,60B,,,
12783,60M,small_airport,Spencer Airport,42.290501,-71.964699,1040,NA,US,US-MA,Spencer,no,60M,,60M,,https://en.wikipedia.org/wiki/Spencer_Airport,
12784,60MA,heliport,Grandview Farm Heliport,42.73429870605469,-70.86740112,11,NA,US,US-MA,Rowley,no,60MA,,60MA,,,
505270,60ME,heliport,Southern Maine Health LZ Heliport,43.478032,-70.491168,110,NA,US,US-ME,Biddeford,no,60ME,,60ME,,,
345616,60NH,heliport,Sherwood Forest Inc Heliport,43.809013,-71.091413,433,NA,US,US-NH,Freedom,no,60NH,,60NH,,,
12827,61MA,closed,Shirley Airport,42.527,-71.664497,400,NA,US,US-MA,Shirley,no,,,,,,61MA
12835,61NH,heliport,Hooksett Safety Center Heliport,43.055999755859375,-71.44670105,300,NA,US,US-NH,Hooksett,no,61NH,,61NH,,,
45521,62NH,heliport,Carleton Heliport,44.063611,-71.152778,920,NA,US,US-NH,Hales Location,no,62NH,,62NH,,,
506818,63ME,small_airport,Milo Field,45.239167,-68.961528,293,NA,US,US-ME,Milo,no,63ME,,63ME,,,
345566,63NH,heliport,Jackson Fire Heliport,44.141722,-71.181111,822,NA,US,US-NH,Jackson,no,63NH,,63NH,,,
12939,64CT,small_airport,Woodstock Airport,41.920956,-71.953117,465,NA,US,US-CT,Woodstock,no,64CT,,64CT,,,
12954,64ME,heliport,Dave Libby Heliport,43.739200592041016,-70.31289673,305,NA,US,US-ME,Falmouth,no,64ME,,64ME,,,
